-- Automatically generated by TpcdsQueries
-RECORD 0--------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5607.487500         
 sum_sales         | 2197.48             
 psum              | 3271.66             
 nsum              | 2831.67             
-RECORD 1--------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5643.938333         
 sum_sales         | 2393.31             
 psum              | 4463.11             
 nsum              | 2652.44             
-RECORD 2--------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5640.362500         
 sum_sales         | 2416.57             
 psum              | 3348.90             
 nsum              | 2987.78             
-RECORD 3--------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 4702.116667         
 sum_sales         | 1534.95             
 psum              | 2666.37             
 nsum              | 2514.13             
-RECORD 4--------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 5330.618333         
 sum_sales         | 2218.63             
 psum              | 3182.74             
 nsum              | 7436.83             
-RECORD 5--------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5338.852500         
 sum_sales         | 2233.60             
 psum              | 3470.43             
 nsum              | 2832.41             
-RECORD 6--------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 5                   
 avg_monthly_sales | 5139.465000         
 sum_sales         | 2034.96             
 psum              | 3149.72             
 nsum              | 3648.17             
-RECORD 7--------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 5748.707500         
 sum_sales         | 2645.88             
 psum              | 3432.67             
 nsum              | 7646.91             
-RECORD 8--------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 s_store_name      | bar                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 4915.190000         
 sum_sales         | 1815.92             
 psum              | 2884.81             
 nsum              | 2956.00             
-RECORD 9--------------------------------
 i_category        | Women               
 i_brand           | amalgamalg #1       
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 4586.300000         
 sum_sales         | 1508.07             
 psum              | 2992.12             
 nsum              | 3059.37             
-RECORD 10-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5374.032500         
 sum_sales         | 2322.80             
 psum              | 2484.06             
 nsum              | 3313.69             
-RECORD 11-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 4596.057500         
 sum_sales         | 1577.69             
 psum              | 2457.43             
 nsum              | 2439.68             
-RECORD 12-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5839.670833         
 sum_sales         | 2825.07             
 psum              | 3157.46             
 nsum              | 3531.36             
-RECORD 13-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5342.149167         
 sum_sales         | 2347.82             
 psum              | 2787.31             
 nsum              | 3588.16             
-RECORD 14-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5643.938333         
 sum_sales         | 2652.44             
 psum              | 2393.31             
 nsum              | 3008.88             
-RECORD 15-------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5475.719167         
 sum_sales         | 2515.22             
 psum              | 2709.11             
 nsum              | 2702.85             
-RECORD 16-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 5338.852500         
 sum_sales         | 2388.17             
 psum              | 2832.41             
 nsum              | 4216.10             
-RECORD 17-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | bar                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5065.706667         
 sum_sales         | 2119.85             
 psum              | 3439.05             
 nsum              | 2640.59             
-RECORD 18-------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 4713.009167         
 sum_sales         | 1774.19             
 psum              | 3366.21             
 nsum              | 1940.05             
-RECORD 19-------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5374.032500         
 sum_sales         | 2484.06             
 psum              | 2994.92             
 nsum              | 2322.80             
-RECORD 20-------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 5342.149167         
 sum_sales         | 2454.72             
 psum              | 2766.42             
 nsum              | 7665.06             
-RECORD 21-------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 4741.993333         
 sum_sales         | 1879.47             
 psum              | 3419.59             
 nsum              | 2634.29             
-RECORD 22-------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 s_store_name      | able                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 4723.742500         
 sum_sales         | 1866.30             
 psum              | 2384.82             
 nsum              | 2931.55             
-RECORD 23-------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 4732.205000         
 sum_sales         | 1875.08             
 psum              | 2686.46             
 nsum              | 3422.03             
-RECORD 24-------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 4849.967500         
 sum_sales         | 2002.59             
 psum              | 2590.23             
 nsum              | 3380.67             
-RECORD 25-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 4920.419167         
 sum_sales         | 2077.36             
 psum              | 3402.55             
 nsum              | 3347.44             
-RECORD 26-------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 4596.057500         
 sum_sales         | 1762.17             
 psum              | 2728.14             
 nsum              | 2457.43             
-RECORD 27-------------------------------
 i_category        | Children            
 i_brand           | edu packexporti #1  
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 4739.001667         
 sum_sales         | 1923.04             
 psum              | 2309.91             
 nsum              | 2849.64             
