-- Automatically generated by TpcdsQueries
-RECORD 0----------------------------
 s_store_name    | able              
 s_company_id    | 1                 
 s_street_number | 666               
 s_street_name   | Cedar Spruce      
 s_street_type   | Avenue            
 s_suite_number  | Suite 10          
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 78                
 31 - 60 days    | 53                
 61 - 90 days    | 68                
 91 - 120 days   | 63                
 >120 days       | 103               
-RECORD 1----------------------------
 s_store_name    | ation             
 s_company_id    | 1                 
 s_street_number | 405               
 s_street_name   | 3rd               
 s_street_type   | Wy                
 s_suite_number  | Suite 220         
 s_city          | Fairview          
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 35709             
 30 days         | 71                
 31 - 60 days    | 65                
 61 - 90 days    | 63                
 91 - 120 days   | 43                
 >120 days       | 97                
-RECORD 2----------------------------
 s_store_name    | bar               
 s_company_id    | 1                 
 s_street_number | 71                
 s_street_name   | Cedar             
 s_street_type   | Blvd              
 s_suite_number  | Suite B           
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 79                
 31 - 60 days    | 54                
 61 - 90 days    | 43                
 91 - 120 days   | 67                
 >120 days       | 115               
-RECORD 3----------------------------
 s_store_name    | eing              
 s_company_id    | 1                 
 s_street_number | 914               
 s_street_name   | Lake 11th         
 s_street_type   | Road              
 s_suite_number  | Suite T           
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 82                
 31 - 60 days    | 45                
 61 - 90 days    | 56                
 91 - 120 days   | 49                
 >120 days       | 105               
-RECORD 4----------------------------
 s_store_name    | ese               
 s_company_id    | 1                 
 s_street_number | 120               
 s_street_name   | 6th               
 s_street_type   | Lane              
 s_suite_number  | Suite B           
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 63                
 31 - 60 days    | 52                
 61 - 90 days    | 68                
 91 - 120 days   | 43                
 >120 days       | 108               
-RECORD 5----------------------------
 s_store_name    | ought             
 s_company_id    | 1                 
 s_street_number | 32                
 s_street_name   | 3rd               
 s_street_type   | Street            
 s_suite_number  | Suite 220         
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 75                
 31 - 60 days    | 63                
 61 - 90 days    | 51                
 91 - 120 days   | 51                
 >120 days       | 99
             
