-- Automatically generated by TpcdsQueries
-RECORD 0--------------------------------
 i_category        | Music               
 i_brand           | amalgscholar #1     
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6662.669167         
 sum_sales         | 1961.57             
 psum              | 4348.07             
 nsum              | 3386.25             
-RECORD 1--------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6493.071667         
 sum_sales         | 2044.05             
 psum              | 4348.88             
 nsum              | 3443.20             
-RECORD 2--------------------------------
 i_category        | Shoes               
 i_brand           | exportiedu pack #1  
 cc_name           | Mid Atlantic        
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 7416.141667         
 sum_sales         | 2980.15             
 psum              | 4654.22             
 nsum              | 5157.83             
-RECORD 3--------------------------------
 i_category        | Children            
 i_brand           | importoexporti #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 6577.143333         
 sum_sales         | 2152.15             
 psum              | 3291.07             
 nsum              | 3659.32             
-RECORD 4--------------------------------
 i_category        | Shoes               
 i_brand           | importoedu pack #1  
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 6926.960833         
 sum_sales         | 2523.33             
 psum              | 4014.93             
 nsum              | 4254.99             
-RECORD 5--------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 6707.315833         
 sum_sales         | 2449.22             
 psum              | 4311.11             
 nsum              | 3583.31             
-RECORD 6--------------------------------
 i_category        | Men                 
 i_brand           | amalgimporto #1     
 cc_name           | North Midwest       
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 7098.680833         
 sum_sales         | 2965.42             
 psum              | 3526.45             
 nsum              | 4923.53             
-RECORD 7--------------------------------
 i_category        | Men                 
 i_brand           | exportiimporto #1   
 cc_name           | NY Metro            
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 7146.240000         
