-- Automatically generated by TpcdsQueries
-RECORD 0-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 1-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 2-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 3-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 4-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 5-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 6-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 7-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 8-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 9-------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 10------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 11------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 12------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 13------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 14------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 15------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 16------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 17------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
 (thu_sales1 / thu_sales2) | 2.01369701972914228390 
 (fri_sales1 / fri_sales2) | 0.74322255494522317957 
 (sat_sales1 / sat_sales2) | 0.71433787179231334416 
-RECORD 18------------------------------------------
 s_store_name1             | able                   
 s_store_id1               | AAAAAAAACAAAAAAA       
 d_week_seq1               | 5271                   
 (sun_sales1 / sun_sales2) | 0.74419775623719778195 
 (mon_sales1 / mon_sales2) | 0.74258389025810779226 
 (tue_sales1 / tue_sales2) | 0.18455097389041153754 
 (wed_sales1 / wed_sales2) | 0.11049123944133143765 
