-- Automatically generated by TpcdsQueries
-RECORD 0----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 672624.93                
 rk             | 5                        
-RECORD 1----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 1328761.89               
 rk             | 4                        
-RECORD 2----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 1867833.60               
 rk             | 3                        
-RECORD 3----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 2951322.99               
 rk             | 2                        
-RECORD 4----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 1012102066.67            
 rk             | 1                        
-RECORD 5----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 672624.93                
 rk             | 5                        
-RECORD 6----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 1                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 109354.01                
 rk             | 39                       
-RECORD 7----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 1                        
 d_moy          | 1                        
 s_store_id     | null                     
 sumsales       | 56696.62                 
 rk             | 88                       
-RECORD 8----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 2                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 117554.43                
 rk             | 24                       
-RECORD 9----------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 2                        
 d_moy          | 6                        
 s_store_id     | null                     
 sumsales       | 50119.54                 
 rk             | 93                       
-RECORD 10---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 3                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 147622.32                
 rk             | 12                       
-RECORD 11---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 3                        
 d_moy          | 8                        
 s_store_id     | null                     
 sumsales       | 64629.56                 
 rk             | 85                       
-RECORD 12---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 3                        
 d_moy          | 9                        
 s_store_id     | null                     
 sumsales       | 59755.91                 
 rk             | 86                       
-RECORD 13---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 298094.17                
 rk             | 7                        
-RECORD 14---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 10                       
 s_store_id     | null                     
 sumsales       | 96651.33                 
 rk             | 58                       
-RECORD 15---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 10                       
 s_store_id     | AAAAAAAAKAAAAAAA         
 sumsales       | 41992.37                 
 rk             | 100                      
-RECORD 16---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 11                       
 s_store_id     | null                     
 sumsales       | 110100.01                
 rk             | 35                       
-RECORD 17---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | null                     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 12                       
 s_store_id     | null                     
 sumsales       | 91342.83                 
 rk             | 68                       
-RECORD 18---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | ationesebareing          
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 136570.22                
 rk             | 16                       
-RECORD 19---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | ationesebareing          
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 136570.22                
 rk             | 16                       
-RECORD 20---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | ationesebareing          
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 54262.81                 
 rk             | 90                       
-RECORD 21---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | eseationablebarought     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 106226.70                
 rk             | 44                       
-RECORD 22---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | eseationablebarought     
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 106226.70                
 rk             | 44                       
-RECORD 23---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | eseationablebarought     
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 46143.77                 
 rk             | 96                       
-RECORD 24---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | n stought                
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 90518.72                 
 rk             | 69                       
-RECORD 25---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | n stought                
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 90518.72                 
 rk             | 69                       
-RECORD 26---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtableantiable        
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 96782.30                 
 rk             | 52                       
-RECORD 27---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtableantiable        
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 96782.30                 
 rk             | 52                       
-RECORD 28---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtableantiable        
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 49543.67                 
 rk             | 94                       
-RECORD 29---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtablen stationought  
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 105616.28                
 rk             | 46                       
-RECORD 30---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtablen stationought  
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 105616.28                
 rk             | 46                       
-RECORD 31---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughtablen stationought  
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 66351.81                 
 rk             | 84                       
-RECORD 32---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughteseoughtation       
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 120422.74                
 rk             | 22                       
-RECORD 33---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughteseoughtation       
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 120422.74                
 rk             | 22                       
-RECORD 34---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughteseoughtation       
 d_year         | 2000                     
 d_qoy          | 3                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 51575.65                 
 rk             | 92                       
-RECORD 35---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | null                     
 i_product_name | oughteseoughtation       
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 53356.26                 
 rk             | 91                       
-RECORD 36---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | brandcorp #7             
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 110558.31                
 rk             | 32                       
-RECORD 37---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | brandcorp #7             
 i_product_name | esepriantieing           
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 110558.31                
 rk             | 32                       
-RECORD 38---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | brandcorp #7             
 i_product_name | esepriantieing           
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 110558.31                
 rk             | 32                       
-RECORD 39---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | brandcorp #7             
 i_product_name | esepriantieing           
 d_year         | 2000                     
 d_qoy          | 4                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 57539.32                 
 rk             | 87                       
-RECORD 40---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | corpamalgamalg #1        
 i_product_name | null                     
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 178041.47                
 rk             | 9                        
-RECORD 41---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | corpamalgamalg #1        
 i_product_name | callyationationantiought 
 d_year         | 0                        
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 178041.47                
 rk             | 9                        
-RECORD 42---------------------------------
 i_category     | null                     
 i_class        | null                     
 i_brand        | corpamalgamalg #1        
 i_product_name | callyationationantiought 
 d_year         | 2000                     
 d_qoy          | 0                        
 d_moy          | 0                        
 s_store_id     | null                     
 sumsales       | 178041.47                
